,Feature,Importance
31,exp_sack,0.0
0,pass_attempts,0.0002475458073105425
27,qb_plays,0.001032208813102124
23,pa_pass_yards,0.001859025610148514
21,rpo_rush_yards,0.0029774265272296176
19,rpo_pass_yards,0.004945680138182793
7,pocket_time,0.006826578779397648
32,penalty,0.007151288679279743
9,times_hurried,0.007458568591709224
18,rpo_pass_att,0.007717885366064974
17,rpo_yards,0.008439118312206582
5,bad_throws,0.0088441009423822
25,qbr_total,0.009835541956035112
14,on_tgt_throws,0.013186878894213163
11,times_pressured,0.01818745283053461
34,sack,0.018330716753867667
8,times_blitzed,0.01879123095771626
20,rpo_rush_att,0.019548839955410516
10,times_hit,0.022071280475626832
13,batted_balls,0.022768716322193717
29,pass,0.02606212835374763
28,epa_total,0.030074379722010984
22,pa_pass_att,0.035515250148151614
3,drops,0.038280575121522116
6,bad_throw_pct,0.0403772292314432
4,drop_pct,0.04424748999132088
16,rpo_plays,0.04490750223520088
33,qbr_raw,0.052833025934301316
12,pressure_pct,0.05448767099213143
26,pts_added,0.05536719383192784
2,spikes,0.0662970888486651
24,rank,0.07710717022203316
15,on_tgt_pct,0.11090728819313767
30,run,0.13249484039994758
1,throwaways,0.14876457500270235
